TPDV,110,勞訴,149,20210823,1
CTDV,110,勞訴,108,20211018,1
TPDV,110,勞訴,167,20210831,1
TCDV,110,勞訴,145,20210930,1
KSDV,110,勞訴,125,20210930,1
CTDV,110,勞訴,152,20211028,1
CTDV,110,勞訴,131,20211020,1
CTDV,110,勞訴,172,20211123,1
CTDV,110,勞訴,135,20211027,1
CTDV,110,勞訴,164,20211112,1
CTDV,110,勞訴,143,20211123,1
KSDV,110,勞訴,159,20211201,1
CTDV,110,勞訴,178,20211124,1
CTDV,110,勞訴,126,20211108,1
CTDV,110,勞訴,186,20211203,1
KSDV,110,勞訴,167,20211124,1
TNDV,109,勞訴,9,20200731,1
TNDV,108,勞訴,98,20200630,1
TCDV,109,勞訴,107,20210108,1
TPDV,109,勞訴,392,20210312,1
CTDV,110,勞訴,106,20210914,1
TPDV,109,勞訴,380,20201231,1
CTDV,110,勞訴,123,20210929,1
CTDV,110,勞訴,119,20210924,1
CTDV,110,勞訴,115,20210917,1
CTDV,110,勞訴,124,20210929,1
