TPDV,113,勞訴,133,20240524,1
TPDV,113,勞訴,156,20240531,1
TPDV,112,勞訴,384,20231229,1
TPDV,113,勞訴,31,20240220,1
TPDV,113,勞訴,35,20240220,1
TPDV,111,重勞訴,19,20230421,1
TPDV,111,重勞訴,19,20231016,2
TPDV,111,重勞訴,19,20231031,3
CHDV,112,勞訴,33,20240715,1
CHDV,112,勞訴,33,20240807,2
TCHV,113,重勞上,3,20250224,2
TPSV,114,台上,668,20250612,1
TPHV,92,勞上更一,2,20040323,1
CHDV,91,勞訴,6,20020808,1
CHDV,91,勞訴,15,20020830,1
TNDV,90,勞訴,27,20011207,1
TNDV,90,勞訴,27,20020321,1
